epoch,year,type,region_id,name,outcome,faction,measure,winner,ceded,tribute,occupied,contested,ruler
1,1025,concession,0,,,,,,,,,,
1,1025,embargo,0,,,,,,,,,,
1,1025,settlement_abandoned,2,,,,,,,,,,
1,1025,settlement_abandoned,3,,,,,,,,,,
1,1025,settlement_abandoned,4,,,,,,,,,,
1,1025,settlement_abandoned,7,,,,,,,,,,
1,1025,settlement_abandoned,8,,,,,,,,,,
1,1025,settlement_abandoned,9,,,,,,,,,,
1,1025,settlement_abandoned,10,,,,,,,,,,
1,1025,settlement_abandoned,11,,,,,,,,,,
1,1025,blight_plague,6,the Water-Rot of 1025,,,,,,,,,
2,1050,settlement_founded,2,,,,,,,,,,
2,1050,settlement_abandoned,6,,,,,,,,,,
2,1050,settlement_founded,7,,,,,,,,,,
2,1050,settlement_founded,8,,,,,,,,,,
2,1050,settlement_founded,10,,,,,,,,,,
2,1050,settlement_founded,11,,,,,,,,,,
2,1050,storm,0,the Great Storm of 1050,,,,,,,,,
2,1050,blight_plague,1,the Grey Breath of 1050,,,,,,,,,
3,1075,settlement_abandoned,0,,,,,,,,,,
3,1075,settlement_abandoned,1,,,,,,,,,,
3,1075,settlement_abandoned,2,,,,,,,,,,
3,1075,settlement_founded,6,,,,,,,,,,
3,1075,settlement_abandoned,7,,,,,,,,,,
3,1075,settlement_abandoned,8,,,,,,,,,,
3,1075,refinery_collapse,5,,,,,,,,,,
3,1075,succession,,Velane,,temple,,,,,,false,1
3,1075,succession,,Volzar,,magnate,,,,,,false,1
3,1075,drought,10,the Drought of 1075,,,,,,,,,
3,1075,storm,10,the Great Storm of 1075,,,,,,,,,
3,1075,reform,,,,,crown_granary,,,,,,
3,1075,consecration,6,,,,,,,,,,
4,1100,settlement_founded,0,,,,,,,,,,
4,1100,settlement_founded,2,,,,,,,,,,
4,1100,settlement_founded,7,,,,,,,,,,
4,1100,settlement_founded,8,,,,,,,,,,
4,1100,succession,,Holdenmere,,crown,,,,,,true,1
4,1100,seizure,6,,,temple,,,,,,,
4,1100,storm,0,the Great Storm of 1100,,,,,,,,,
5,1125,settlement_founded,1,,,,,,,,,,
5,1125,refinery_founded,0,,,,,,,,,,
5,1125,seizure,0,,,magnate,,,,,,,
5,1125,revolt,1,the Umbereton Rising,crushed,,,,,,,,
6,1150,settlement_abandoned,1,,,,,,,,,,
7,1175,ascendancy,6,the Rise of Avelle,,,,,,,,,
8,1200,succession,,Wornweld,,crown,,,,,,false,2
8,1200,drought,10,the Drought of 1200,,,,,,,,,
8,1200,discovery,7,the Dhozzurn Find,,,,,,,,,
9,1225,war,10,the Corineby War,,crown|temple,,,,,,,
9,1225,succession,,Tessethe,,temple,,,,,,true,2
9,1225,drought,10,the Drought of 1225,,,,,,,,,
9,1225,storm,0,the Great Storm of 1225,,,,,,,,,
9,1225,discovery,7,the Dhozzurn Find,,,,,,,,,
9,1225,ascendancy,6,the Rise of Avelle,,,,,,,,,
10,1250,settlement_abandoned,0,,,,,,,,,,
10,1250,settlement_abandoned,10,,,,,,,,,,
10,1250,succession,,Brazzul,,magnate,,,,,,false,2
10,1250,treaty,10,the Peace of Corineby,,crown|temple,,crown,1,9,,,
