epoch,year,type,region_id,name,outcome,faction,measure,winner,ceded,tribute,occupied,contested,ruler
1,1025,settlement_abandoned,2,,,,,,,,,,
1,1025,settlement_abandoned,4,,,,,,,,,,
1,1025,settlement_abandoned,7,,,,,,,,,,
1,1025,settlement_abandoned,8,,,,,,,,,,
1,1025,settlement_abandoned,9,,,,,,,,,,
1,1025,settlement_abandoned,10,,,,,,,,,,
1,1025,settlement_abandoned,11,,,,,,,,,,
2,1050,settlement_abandoned,1,,,,,,,,,,
2,1050,storm,0,the Great Storm of 1050,,,,,,,,,
3,1075,settlement_founded,11,,,,,,,,,,
3,1075,refinery_collapse,5,,,,,,,,,,
3,1075,succession,,Faelione,,temple,,,,,,false,1
3,1075,succession,,Morvolt,,magnate,,,,,,false,1
3,1075,drought,5,the Drought of 1075,,,,,,,,,
3,1075,storm,0,the Great Storm of 1075,,,,,,,,,
4,1100,settlement_founded,2,,,,,,,,,,
4,1100,settlement_founded,7,,,,,,,,,,
4,1100,settlement_founded,8,,,,,,,,,,
4,1100,settlement_founded,10,,,,,,,,,,
4,1100,succession,,Merby,,crown,,,,,,true,1
4,1100,storm,0,the Great Storm of 1100,,,,,,,,,
5,1125,settlement_abandoned,0,,,,,,,,,,
5,1125,settlement_founded,1,,,,,,,,,,
5,1125,refinery_founded,5,,,,,,,,,,
5,1125,revolt,1,the Dunholdham Rising,crushed,,,,,,,,
6,1150,settlement_abandoned,1,,,,,,,,,,
7,1175,ascendancy,9,the Rise of Merivelle Tor,,,,,,,,,
8,1200,settlement_founded,9,,,,,,,,,,
8,1200,succession,,Therton,,crown,,,,,,false,2
8,1200,drought,5,the Drought of 1200,,,,,,,,,
8,1200,discovery,7,the Strakketh Find,,,,,,,,,
9,1225,war,5,the Forby War,,crown|magnate,,,,,,,
9,1225,succession,,Ophel,,temple,,,,,,true,2
9,1225,drought,5,the Drought of 1225,,,,,,,,,
9,1225,storm,8,the Great Storm of 1225,,,,,,,,,
9,1225,discovery,7,the Strakketh Find,,,,,,,,,
9,1225,ascendancy,9,the Rise of Merivelle Tor,,,,,,,,,
10,1250,settlement_founded,0,,,,,,,,,,
10,1250,succession,,Tremmok,,magnate,,,,,,false,2
10,1250,treaty,5,the Peace of Forby,,crown|magnate,,crown,0,0,,,
