epoch,year,type,region_id,name,outcome,faction,measure,winner,ceded,tribute,occupied,contested,ruler
1,1025,settlement_abandoned,1,,,,,,,,,,
1,1025,settlement_abandoned,2,,,,,,,,,,
1,1025,settlement_abandoned,4,,,,,,,,,,
1,1025,settlement_abandoned,7,,,,,,,,,,
1,1025,settlement_abandoned,8,,,,,,,,,,
1,1025,settlement_abandoned,9,,,,,,,,,,
1,1025,settlement_abandoned,10,,,,,,,,,,
1,1025,settlement_abandoned,11,,,,,,,,,,
2,1050,settlement_abandoned,3,,,,,,,,,,
2,1050,storm,0,the Great Storm of 1050,,,,,,,,,
2,1050,blight_plague,6,the Water-Rot of 1050,,,,,,,,,
3,1075,refinery_collapse,5,,,,,,,,,,
3,1075,succession,,Faelione,,temple,,,,,,false,1
3,1075,succession,,Morvolt,,magnate,,,,,,false,1
3,1075,drought,5,the Drought of 1075,,,,,,,,,
3,1075,storm,0,the Great Storm of 1075,,,,,,,,,
4,1100,settlement_founded,2,,,,,,,,,,
4,1100,settlement_founded,3,,,,,,,,,,
4,1100,settlement_founded,7,,,,,,,,,,
4,1100,settlement_founded,8,,,,,,,,,,
4,1100,settlement_founded,10,,,,,,,,,,
4,1100,settlement_founded,11,,,,,,,,,,
4,1100,succession,,Merby,,crown,,,,,,true,1
4,1100,storm,0,the Great Storm of 1100,,,,,,,,,
4,1100,reform,,,,,crown_granary,,,,,,
4,1100,consecration,6,,,,,,,,,,
5,1125,settlement_abandoned,0,,,,,,,,,,
5,1125,settlement_founded,1,,,,,,,,,,
5,1125,refinery_founded,5,,,,,,,,,,
5,1125,seizure,6,,,temple,,,,,,,
5,1125,revolt,1,the Dunholdham Rising,won,,,,,,,,
6,1150,settlement_abandoned,1,,,,,,,,,,
6,1150,settlement_abandoned,2,,,,,,,,,,
6,1150,settlement_abandoned,3,,,,,,,,,,
6,1150,settlement_abandoned,7,,,,,,,,,,
6,1150,settlement_abandoned,8,,,,,,,,,,
7,1175,ascendancy,6,the Rise of Linden,,,,,,,,,
8,1200,succession,,Therton,,crown,,,,,,false,2
8,1200,drought,10,the Drought of 1200,,,,,,,,,
8,1200,discovery,5,the Forby Find,,,,,,,,,
9,1225,settlement_abandoned,10,,,,,,,,,,
9,1225,war,5,the War of 1225,,crown|magnate,,,,,,,
9,1225,succession,,Ophel,,temple,,,,,,true,2
9,1225,drought,5,the Drought of 1225,,,,,,,,,
9,1225,storm,0,the Great Storm of 1225,,,,,,,,,
9,1225,discovery,5,the Forby Find,,,,,,,,,
9,1225,ascendancy,6,the Rise of Linden,,,,,,,,,
10,1250,succession,,Tremmok,,magnate,,,,,,false,2
10,1250,treaty,5,the Peace of Forby,,crown|magnate,,crown,0,0,,,
